timestamp_ms,venue,best_bid,bid_vol,best_ask,ask_vol
1774075648645,consolidated,70762.8,4.5332,70762.9,0.00143805
1774075654746,consolidated,70762.8,4.47974,70762.9,0.00143805
1774075655590,consolidated,70762.8,4.54214,70762.9,0.00143805
1774075656229,consolidated,70762.8,4.54214,70762.9,0.00143805
1774075656839,consolidated,70762.8,4.47974,70762.9,0.00143805
1774075657686,consolidated,70762.8,4.54214,70762.9,0.00143805
1774075658281,consolidated,70762.8,4.54214,70762.9,0.00143805
1774075658878,consolidated,70767.1,5.74841,70767.2,0.231221
1774075659419,consolidated,70767.1,5.8897,70767.2,0.231152
1774075660079,consolidated,70767.1,5.8897,70767.2,0.231152
